ETH-Ask,ETH-Bid,ETH-Last,BTC-Ask,BTC-Bid,BTC-Last,BCH-Ask,BCH-Bid,BCH-Last,LTC-Ask,LTC-Bid,LTC-Last,BSV-Ask,BSV-Bid,BSV-Last,XMR-Ask,XMR-Bid,XMR-Last
141.13534325,140.9,141.12,3867.97173066,3856.39194203,3872.05780713,166.9999993,163.63943527,166.17102129,32.16881983,31.75164246,31.75127234,90.23555204,88.57839458,89.3,48.23054875,47.00000247,47.62500745
141.62,141.28,141.28,3860,3851.21912179,3850,167.31234511,165.28934892,167.31234511,31.96742295,31.65630936,32.16863475,90.2355503,89.52694019,89.3,48.1,47.53898174,47.79188605
141.03,140.62,140.9,3864.22749541,3855.47,3869.17002222,167.08669943,165.705952,167.51125605,32.2,31.99658322,32.0560117,90.2355503,89.60808515,89.3,48.09999994,47.53898279,47.79188605
141.55,141.21,141.5,3857.95462647,3850.6,3855.47,166.7,166.00000021,167.42219331,32.53952846,32.15333105,32.15333071,90.23555024,89.64361137,89.3,47.98120632,47.5426339,47.79188605
140.67,140.43,140.33,3854.39987675,3845.0670111,3839.65916609,167.20707303,165.72862586,165.70596618,32.5294998,32.11277202,32.15333125,90.23555231,89.2478739,89.64361137,48.1,47.46607614,48.1
141.29,140.96,141.08,3854.49594957,3842.1664579,3841.15369787,166.90661443,165.67379234,167.20707299,32.51619307,32.12254123,32.15333125,90.23555226,89.28524089,89.64361137,48.1,47.63983371,48.1
141.98999996,141.54,141.11,3862.38961104,3850.82653401,3854.94716611,167.79068628,165.67382957,166.65051857,32.75017054,32.37706592,32.78506937,90.23555226,89.29002637,89.64361137,48.67402953,47.71985112,48.35993552
141.96,141.6,141.6,3866.30168083,3854.94716614,3867.6960879,167.58558981,166.24460817,167.79068621,32.78507786,32.46122213,32.46103715,90.23555205,89.29002654,89.64361137,48.99999997,48.67402969,48.67402969
141.77,141.53,141.79999986,3865.6507371,3856.24000008,3865.65073722,167.58558941,166.33060229,167.58558978,32.70647279,32.46046472,32.46103715,90.23519728,89.29002675,89.64361137,49.1,48.6940255,49
142.5,142.36,142.55000002,3866.82035297,3856.24000008,3866.3,167.58558865,166.40368971,167.58558871,32.74297221,32.46046489,32.46103715,90.23519722,89.29002694,89.64361137,49.1,48.87204188,49
141.5,141.25,141.25,3856.89303007,3845.34640855,3849.35533931,167.01090579,166.00000295,167.58558871,32.59177186,32.23482115,32.46046472,90.23519561,89.13006626,89.21000019,49.09999949,48.6740304,48.70750172
141.6,141.5,141.5,3860.13999994,3849.71127086,3848.48426169,166.95462311,166,166,32.49694633,32.12936798,32.18848637,90.23518986,89.13006626,89.21000019,49.08062714,48.67403402,48.70750172
142.54999999,142.23,141.85,3860,3852.77524993,3859.99999994,166.95462249,166.00000004,166,32.40242528,32.12936842,32.18848637,89.6648129,89.0344586,89.21000019,49.1,48.6740359,48.70750172
142.91999997,142.51,142.75999994,3866.48455001,3854.90921367,3868.20077231,167.58558892,166.95462258,167.58558889,32.7426773,32.30390134,32.54165605,89.66481289,89.20000006,89.21000019,49.09999993,48.70074447,48.70750172
142.55223885,141.62582092,142.76466154,3862.84754047,3854.90921373,3854.90921373,167.58558903,167.58558892,167.58558903,32.74190143,32.54165605,32.54165605,89.66481289,89.20000006,89.21000019,49.08951753,48.70074512,48.70750172
142.30963211,141.4329866,142.33793518,3860.57359603,3854.90921373,3854.90921373,167.58558903,167.58558892,167.58558892,32.72167513,32.41305367,32.73718403,89.64069928,89.13173315,89.21000019,48.9999999,48.67403518,48.7
143.14465839,142.04401413,142.01413098,3863.8535279,3854.90921374,3860.57359603,168.49407301,167.22001018,167.58558903,32.71259412,32.41305367,32.73718403,89.64069929,89.13173316,89.21000019,48.99999994,48.67403542,48.99999989
141.77946643,141.07864144,140.67000008,3856.82361882,3845.27720511,3851.85417968,168.49407282,167.32896098,167.58558903,32.41277536,32.12956215,32.12936811,89.64069928,88.63915391,89,48.99999993,48.67403524,48.99999989
142.16063911,141.31098312,141.311,3858.6298092,3852.35,3852.35,168.4940727,167.32896098,167.58558903,32.43323735,32.12936797,32.12936811,89.70867258,88.63915448,89,48.99999984,48.67403518,48.99999989
141.83932616,141.2,141.2,3846.95146456,3835.43460562,3845.26371975,168.49407201,167.32896098,168.494,32.1339264,31.77766689,31.96399138,89.83555015,88.63915613,89,48.82112855,48.67403518,48.99999989
141.86945007,141.29,141.94977815,3848.74197949,3838.64805506,3848.16857942,167.91557468,167.32896098,167.32896098,32.13392525,31.79969765,31.96399138,89.83555005,88.81802038,89.92173295,48.58153364,48.15012538,48.31296073
143.04445172,142.18346818,142.19076233,3854.8266238,3843.28618853,3850.39196637,168.27428454,167.32896099,167.32896098,32.20934979,31.85865362,32.1339244,90.23555233,88.97062494,89.83555005,48.58413822,48.22587937,48.31296073
